x;y;result
58.0;78.0;2508.6876014948994
85.0;79.0;3193.9004535904814
41.0;12.0;171.40476756154186
49.0;70.0;1953.763888888889
6.0;33.0;257.5679343196759
82.0;60.0;2148.9832416856902
1.0;37.0;242.90304266690157
34.0;32.0;514.056251336542
68.0;44.0;1254.7961352686502
46.0;86.0;2590.290415858778
44.0;3.0;40.521199640636866
29.0;67.0;1428.4121726733576
66.0;43.0;1192.2784369372796
35.0;58.0;1240.4950420607381
9.0;25.0;181.2707838455189
95.0;49.0;1839.3602812889817
40.0;95.0;2855.4768921483233
36.0;63.0;1427.274193548387
62.0;94.0;3429.103899655824
8.0;13.0;61.290973774211885
64.0;90.0;3266.9085365853657
91.0;24.0;754.925214155873
70.0;59.0;1890.4775151991823
31.0;57.0;1139.6309883626932
94.0;9.0;264.85592545911834
23.0;47.0;736.110755096141
84.0;88.0;3686.4642780900085
60.0;18.0;379.3648419739129
11.0;91.0;1847.0719025582066
28.0;92.0;2376.7253677463514
27.0;31.0;427.37977444162453
83.0;69.0;2613.394795893803
2.0;41.0;319.7149175148491
4.0;28.0;174.622402137933
10.0;87.0;1671.1473171369958
74.0;61.0;2051.1759917275963
65.0;39.0;1039.3372168323037
56.0;52.0;1378.0556284181696
37.0;42.0;793.4389161657646
19.0;10.0;74.00954922853282
7.0;73.0;1135.6384310592848
89.0;23.0;705.2993686825589
53.0;74.0;2211.62133453255
17.0;89.0;1945.0960419382097
52.0;7.0;116.10813019205801
67.0;50.0;1469.5426128376848
3.0;48.0;454.88984208540273
47.0;54.0;1307.0006592249254
15.0;34.0;366.05056340558133
30.0;98.0;2704.9813787485336
5.0;35.0;274.6305944135526
90.0;21.0;642.0118680850754
72.0;38.0;1084.4449431187968
99.0;46.0;1754.5256370317559
86.0;27.0;824.9710083687239
50.0;99.0;3351.1122326315613
63.0;45.0;1225.0738964970656
43.0;72.0;1908.0402030989846
77.0;26.0;719.7626198530635
80.0;75.0;2861.5023620077445
54.0;51.0;1311.2024775611346
69.0;84.0;3076.4707667120574
14.0;2.0;9.073400893586314
97.0;68.0;2846.241792406311
48.0;96.0;3135.7778895669812
92.0;97.0;4466.380400351683
81.0;22.0;618.0205314028401
79.0;71.0;2632.1517060772567
21.0;64.0;1172.1525907323269
26.0;5.0;42.67040093281706
61.0;80.0;2676.0360342005592
73.0;82.0;3069.2782871752142
20.0;29.0;328.11619755438664
55.0;6.0;103.72794407432642
75.0;1.0;22.55725488575755
32.0;77.0;1860.0196254840098
42.0;4.0;52.31903335255152
57.0;16.0;316.76483534318703
96.0;93.0;4320.501874783683
78.0;65.0;2314.063448696419
