x;y;result
90.0;71.0;-140.608146496786
56.0;45.0;-84.91485505499116
25.0;91.0;-86.52829603332827
40.0;50.0;-77.55961967468416
19.0;8.0;0.734874810658404
2.0;12.0;-6.831818056616098
66.0;35.0;-76.5416280506559
76.0;79.0;-137.96206400296597
7.0;24.0;-21.24871130596428
81.0;84.0;-147.31785379534023
82.0;97.0;-160.61618969117788
62.0;19.0;-39.96059102671458
22.0;23.0;-34.483250825001626
18.0;89.0;-72.62408989260373
2.0;78.0;-22.206642891095846
84.0;95.0;-160.64444853882128
1.0;32.0;-9.376108692534237
56.0;20.0;-41.84519748764117
50.0;34.0;-66.45882374786886
42.0;18.0;-33.63928459844674
50.0;53.0;-89.30680142129111
19.0;93.0;-76.37492538232482
84.0;23.0;-56.03138087129511
42.0;91.0;-111.79534512937178
41.0;37.0;-64.63102183149367
57.0;61.0;-103.4189050351032
7.0;59.0;-36.269731719200756
43.0;97.0;-117.07957168128168
41.0;81.0;-103.6584908025523
37.0;23.0;-42.47563558951925
68.0;58.0;-109.0722433236143
29.0;53.0;-68.86507481760448
86.0;93.0;-160.5777541653737
17.0;54.0;-53.68333088307355
2.0;65.0;-20.137180620604767
22.0;84.0;-77.79424742190277
43.0;43.0;-72.99563381563974
28.0;43.0;-59.71532946846992
68.0;88.0;-138.92042012100433
8.0;95.0;-50.05344870247573
86.0;19.0;-42.37407024221852
18.0;41.0;-46.98111777513435
25.0;9.0;-2.062430400804562
42.0;15.0;-24.957427527495582
93.0;17.0;-33.530356092613474
72.0;79.0;-134.41150166934239
75.0;98.0;-154.65330721819126
45.0;20.0;-39.24250786043265
17.0;83.0;-67.99946193319447
79.0;52.0;-109.23482890723363
12.0;76.0;-54.511486197439126
84.0;88.0;-153.9183423383589
69.0;13.0;-13.631241285554253
64.0;96.0;-141.51338998052236
66.0;29.0;-65.61664978779238
76.0;62.0;-119.69236849410713
49.0;38.0;-71.32793816269557
72.0;9.0;25.37647640083737
68.0;23.0;-52.58648525237566
2.0;45.0;-16.462525063584565
26.0;57.0;-68.13194143123447
69.0;32.0;-72.63318183437812
70.0;68.0;-121.61208394056196
51.0;81.0;-115.32042601990956
71.0;47.0;-97.38991725349348
67.0;57.0;-107.16913607272491
39.0;24.0;-45.093494942159595
59.0;13.0;-15.412160734715549
99.0;38.0;-96.77612042200309
16.0;63.0;-56.79696961966999
44.0;34.0;-62.844081028244105
96.0;37.0;-93.5577024475426
19.0;56.0;-57.87364181334301
27.0;74.0;-80.34246904775306
76.0;52.0;-107.30340097493367
94.0;61.0;-130.94096009949666
20.0;49.0;-54.957506205211374
79.0;8.0;48.768095934780625
25.0;100.0;-90.99504291677121
30.0;65.0;-78.71033240283991
